,City,pop,pop_rank,Answers,Clues,Categories
0,City,pop,pop_rank,Answers,Clues,Categories
1,New York,8491079,1,517,2041,925
2,Los Angeles,3928864,2,128,230,15
3,Chicago,2722389,3,389,776,75
4,Houston,2239558,4,134,211,20
5,Philadelphia,1560297,5,190,327,40
6,Phoenix,1537058,6,82,90,20
7,San Antonio,1436697,7,40,71,15
8,San Diego,1381069,8,65,136,15
9,Dallas,1281047,9,102,171,30
10,San Jose,1015785,10,31,34,5
11,Austin,912791,11,68,104,15
12,Jacksonville,853382,12,19,10,0
13,San Francisco,852469,13,205,328,50
14,Indianapolis,848788,14,57,49,15
15,Columbus,835957,15,172,228,45
16,Fort Worth,812238,16,11,17,0
17,Charlotte,809958,17,97,115,0
18,Detroit,680250,18,125,206,20
19,El Paso,679036,19,23,17,0
20,Seattle,668342,20,93,211,20
21,Denver,663862,21,111,117,20
22,Washington,658893,22,711,1201,225
23,Memphis,656861,23,80,114,15
24,Boston,655884,24,338,550,80
25,Nashville,644014,25,67,95,25
26,Baltimore,622793,26,106,159,20
27,Oklahoma City,620602,27,27,27,0
28,Portland,619360,28,34,64,0
29,Las Vegas,613599,29,102,188,70
30,Louisville,612780,30,23,62,5
31,Milwaukee,599642,31,50,49,5
32,Albuquerque,557169,32,29,38,10
33,Tucson,527972,33,16,22,0
34,Fresno,515986,34,8,8,0
35,Sacramento,485199,35,53,45,0
36,Long Beach,473577,36,6,32,5
37,Kansas City,470800,37,40,68,10
38,Mesa,464704,38,12,24,15
39,Atlanta,456002,39,110,209,10
40,Virginia Beach,450980,40,4,3,0
41,Omaha,446599,41,41,88,20
42,Colorado Springs,445830,42,9,16,0
43,Raleigh,439896,43,43,62,20
44,Miami,430332,44,124,212,30
45,Oakland,413775,45,36,59,10
46,Minneapolis,407207,46,27,48,15
47,Tulsa,399682,47,16,24,5
48,Cleveland,389521,48,134,185,60
49,Wichita,388413,49,15,26,0
50,New Orleans,384320,50,196,254,25
51,Arlington,383204,51,36,83,25
52,Bakersfield,368759,52,3,7,0
53,Tampa,358699,53,32,29,0
54,Aurora,353108,54,10,40,0
55,Honolulu,350399,55,60,45,0
56,Anaheim,346997,56,23,24,0
